Year,Stage,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result
1986.0,Group E,Germany FR,Scotland,2.0,1.0,HomeWin
1986.0,Group C,Hungary,France,0.0,3.0,AwayWin
1986.0,Group C,Soviet Union,Canada,2.0,0.0,HomeWin
1986.0,Group A,Korea Republic,Italy,2.0,3.0,AwayWin
1986.0,Group A,Argentina,Bulgaria,2.0,0.0,HomeWin
1986.0,Group B,Paraguay,Belgium,2.0,2.0,Draw
1986.0,Group B,Iraq,Mexico,0.0,1.0,AwayWin
1986.0,Group F,Portugal,Morocco,1.0,3.0,AwayWin
1986.0,Group F,England,Poland,3.0,0.0,HomeWin
1986.0,Group D,Northern Ireland,Brazil,0.0,3.0,AwayWin
1986.0,Group D,Algeria,Spain,0.0,3.0,AwayWin
1986.0,Group E,Scotland,Uruguay,0.0,0.0,Draw
1986.0,Group E,Denmark,Germany FR,2.0,0.0,HomeWin
1986.0,Round of 16,Soviet Union,Belgium,3.0,4.0,AwayWin
1986.0,Round of 16,Mexico,Bulgaria,2.0,0.0,HomeWin
1986.0,Round of 16,Argentina,Uruguay,1.0,0.0,HomeWin
1986.0,Round of 16,Brazil,Poland,4.0,0.0,HomeWin
1986.0,Round of 16,Italy,France,0.0,2.0,AwayWin
1986.0,Round of 16,Morocco,Germany FR,0.0,1.0,AwayWin
1986.0,Round of 16,England,Paraguay,3.0,0.0,HomeWin
1986.0,Round of 16,Denmark,Spain,1.0,5.0,AwayWin
1986.0,Quarter-finals,Brazil,France,1.0,1.0,Draw
1986.0,Quarter-finals,Germany FR,Mexico,0.0,0.0,Draw
